,Sport,League,Year,Prediction,Probability,Odd,Opponent_probability,Opponent_odd,Id_Match,Result
0,beisbol,usa/mlb/,2017,home,0.5328333333333333,1.7599999999999998,0.4615,2.1,00bv9thA,1
1,beisbol,usa/mlb/,2017,away,0.489,2.0,0.38983333333333337,1.8300000000000003,021TzIpk,0
2,beisbol,usa/mlb/,2017,home,0.5986666666666667,1.62,0.5278333333333333,2.4,02BQ60PH,0
3,beisbol,usa/mlb/,2017,home,0.6066666666666667,1.45,0.4083333333333333,2.8,04U2HyLn,1
4,beisbol,usa/mlb/,2017,home,0.5393333333333333,1.45,0.4831666666666667,2.8,04UzqJ30,1
5,beisbol,usa/mlb/,2017,home,0.6233333333333333,0.0,0.3865,0.0,04dZglGG,1
6,beisbol,usa/mlb/,2017,home,0.5226296296296297,1.66,0.4143703703703704,2.3,04v5KY67,1
7,beisbol,usa/mlb/,2017,away,0.5891666666666666,1.57,0.5501666666666667,2.55,069i5DEP,0
8,beisbol,usa/mlb/,2017,home,0.5788333333333333,1.55,0.5615,2.6,06FrneyS,1
9,beisbol,usa/mlb/,2017,home,0.6823333333333333,1.86,0.17466666666666664,1.95,06L33pop,0
10,beisbol,usa/mlb/,2017,away,0.5396666666666666,1.7100000000000002,0.4566666666666666,2.2,06TQ2IGF,1
11,beisbol,usa/mlb/,2017,home,0.6263333333333333,1.66,0.2841666666666667,2.3,06iuhGKm,0
12,beisbol,usa/mlb/,2017,away,0.5701666666666667,2.1,0.436,1.7599999999999998,06m88C8j,0
13,beisbol,usa/mlb/,2017,away,0.5578333333333333,1.66,0.37316666666666665,2.3,08EhufQq,0
14,beisbol,usa/mlb/,2017,home,0.64,0.0,0.4588333333333333,0.0,08SOU6JF,1
15,beisbol,usa/mlb/,2017,home,0.43933333333333335,2.2,0.389,1.7100000000000002,08tPxPcn,1
16,beisbol,usa/mlb/,2017,home,0.5403333333333333,1.8300000000000003,0.4281666666666667,2.0,08x1kvli,1
17,beisbol,usa/mlb/,2017,home,0.5820000000000001,1.58,0.3635,2.5,0A5NBaKK,0
