,Sport,League,Year,Prediction,Probability,Odd,Opponent_probability,Opponent_odd,Id_Match,Result
0,beisbol,usa/mlb/,2018,home,0.5318333333333334,1.6,0.434,2.45,006p2KH4,1
1,beisbol,usa/mlb/,2018,home,0.5713333333333334,1.55,0.3643333333333333,2.6,006s4psF,1
2,beisbol,usa/mlb/,2018,away,0.586,1.95,0.5818333333333333,1.86,00n7Ldmp,1
3,beisbol,usa/mlb/,2018,home,0.6318333333333332,1.86,0.4798333333333333,1.95,029d6BPk,1
4,beisbol,usa/mlb/,2018,away,0.5015000000000001,1.54,0.3905,2.65,02iw2pmH,1
5,beisbol,usa/mlb/,2018,home,0.5685,1.7100000000000002,0.44266666666666665,2.2,02ojITua,1
6,beisbol,usa/mlb/,2018,away,0.5569999999999999,0.0,0.5475,0.0,02opV7bP,1
7,beisbol,usa/mlb/,2018,home,0.5326666666666666,1.45,0.3568333333333333,2.8,04Uk7XK5,0
8,beisbol,usa/mlb/,2018,home,0.43183333333333335,1.64,0.3373333333333333,2.35,04tVO50i,1
9,beisbol,usa/mlb/,2018,home,0.6283333333333333,1.5,0.4511666666666666,2.7,065e7Q66,1
10,beisbol,usa/mlb/,2018,home,0.6318333333333332,1.7599999999999998,0.4798333333333333,2.1,065tqrSO,1
11,beisbol,usa/mlb/,2018,home,0.485,1.47,0.326,2.75,06VgkaaK,1
12,beisbol,usa/mlb/,2018,away,0.4788333333333333,0.0,0.4685,0.0,06a2zlIE,0
13,beisbol,usa/mlb/,2018,away,0.5143333333333333,1.7999999999999998,0.43183333333333335,2.05,086nGEOA,1
14,beisbol,usa/mlb/,2018,home,0.5326666666666666,2.1,0.4223333333333333,1.7599999999999998,0ADKuUy4,0
15,beisbol,usa/mlb/,2018,away,0.5775,1.5,0.5016666666666667,2.7,0ADjsgaL,1
16,beisbol,usa/mlb/,2018,home,0.5501666666666667,1.66,0.462,2.3,0AZLdYb8,1
17,beisbol,usa/mlb/,2018,away,0.5601666666666667,1.86,0.4485,1.95,0Aeh0t2N,1
18,beisbol,usa/mlb/,2018,home,0.4905,1.8300000000000003,0.3568333333333333,2.0,0AoN2Gvs,1
19,beisbol,usa/mlb/,2018,home,0.6216666666666667,1.6,0.4286666666666667,2.45,0AoeUcNf,1
20,beisbol,usa/mlb/,2018,home,0.5615,2.25,0.5113333333333333,1.68,0C2VEQRb,1
21,beisbol,usa/mlb/,2018,home,0.701,1.62,0.4178333333333333,2.4,0CQBjhYJ,0
22,beisbol,usa/mlb/,2018,home,0.5118333333333334,1.7599999999999998,0.36733333333333335,2.1,0CQlHath,0
23,beisbol,usa/mlb/,2018,home,0.6853333333333333,1.86,0.384,1.95,0CdbXCb9,0
24,beisbol,usa/mlb/,2018,home,0.601,1.7599999999999998,0.4736666666666667,2.1,0Clb746I,1
25,beisbol,usa/mlb/,2018,home,0.6174999999999999,0.0,0.328,0.0,0E3WdSB2,1
26,beisbol,usa/mlb/,2018,home,0.5685,2.15,0.4093333333333333,1.7400000000000002,0EVuL1La,1
27,beisbol,usa/mlb/,2018,home,0.5451666666666667,1.86,0.32466666666666666,1.95,0EawlsNR,1
28,beisbol,usa/mlb/,2018,away,0.6056666666666667,1.7100000000000002,0.4293333333333333,2.2,0Emv2EIc,1
29,beisbol,usa/mlb/,2018,away,0.5760000000000001,1.9,0.38433333333333336,1.9,0GQjW4zh,1
30,beisbol,usa/mlb/,2018,home,0.5451666666666667,2.05,0.32466666666666666,1.7999999999999998,0GWohYHo,1
31,beisbol,usa/mlb/,2018,home,0.6616666666666666,1.68,0.4865,2.25,0I1DUcWa,1
32,beisbol,usa/mlb/,2018,away,0.5038333333333334,2.7,0.4905,1.5,0I7xUrP4,1
33,beisbol,usa/mlb/,2018,home,0.5315,2.65,0.4601666666666666,1.54,0INvyBqf,1
34,beisbol,usa/mlb/,2018,away,0.5901666666666667,1.47,0.3648333333333333,2.75,0IecCAqJ,0
35,beisbol,usa/mlb/,2018,home,0.4986666666666667,1.36,0.44033333333333335,3.25,0IefEz9T,1
36,beisbol,usa/mlb/,2018,home,0.5071666666666667,1.47,0.4673333333333333,2.75,0Iov2Q8p,1
37,beisbol,usa/mlb/,2018,home,0.6785,1.54,0.36883333333333335,2.65,0K6SmrxK,1
38,beisbol,usa/mlb/,2018,away,0.4681666666666667,1.66,0.4118333333333333,2.3,0KOHlS7q,1
39,beisbol,usa/mlb/,2018,home,0.4575,1.55,0.354,2.6,0KpULPLa,1
40,beisbol,usa/mlb/,2018,home,0.48700000000000004,1.7599999999999998,0.4606666666666666,2.1,0M3y9dgb,0
41,beisbol,usa/mlb/,2018,home,0.7343333333333333,1.4,0.3403333333333333,3.1,0MBNRilj,1
42,beisbol,usa/mlb/,2018,home,0.5508333333333333,1.57,0.526,2.55,0MPxQ0G2,1
43,beisbol,usa/mlb/,2018,home,0.7308333333333333,1.6,0.457,2.45,0MaML98H,1
44,beisbol,usa/mlb/,2018,home,0.7308333333333333,1.54,0.501,2.65,0MwL45oD,0
45,beisbol,usa/mlb/,2018,away,0.5601666666666667,1.6,0.4485,2.45,0Mwi6U8U,1
46,beisbol,usa/mlb/,2018,away,0.44016666666666665,1.64,0.39516666666666667,2.35,0OMQU6P4,0
47,beisbol,usa/mlb/,2018,away,0.5446666666666666,1.8300000000000003,0.485,2.0,0OMbdl8I,1
48,beisbol,usa/mlb/,2018,away,0.5475,1.37,0.38516666666666666,3.2,0Ojktyj1,1
49,beisbol,usa/mlb/,2018,home,0.5318333333333334,1.66,0.44533333333333336,2.3,0QDvRkS6,1
50,beisbol,usa/mlb/,2018,home,0.6148333333333333,1.25,0.25933333333333336,4.1,0QLOMnft,1
